nbis-gene-25439	GO:0034451,GO:0005814,GO:0005813,GO:0036064,GO:0005737,GO:0007420,GO:0061511,GO:0060271,GO:0042733,GO:0030326,GO:0001947,GO:0001701,GO:0021997,GO:0021915,GO:1905515,GO:0007389,GO:0071539,GO:0016485,GO:0030162,GO:0008589
nbis-gene-25116	GO:0046872,GO:0030371,GO:0061630,GO:0004842,GO:0017148,GO:0043161,GO:0016567
nbis-gene-25399	GO:0016324,GO:0016327,GO:0005739,GO:0005886,GO:0045296,GO:0005509,GO:0016339,GO:0098609,GO:0044331,GO:0045317,GO:0048105,GO:0001737,GO:0042067,GO:0001736,GO:0007164,GO:0016336,GO:0007157,GO:0007156,GO:0007446,GO:0007447,GO:0007476,GO:0090176,GO:0008285,GO:0010629,GO:0045926,GO:0045571,GO:0046621,GO:0043065,GO:0035332,GO:0090251,GO:0035209,GO:0090175,GO:0040008,GO:0045570,GO:0032880,GO:0035159,GO:0009888,GO:0035220
nbis-gene-25445	GO:0005737,GO:0098982,GO:0098978,GO:0005654,GO:0005634,GO:0098794,GO:0005524,GO:0009931,GO:0005516,GO:0004683,GO:0106310,GO:0002250,GO:0006954,GO:0035556,GO:0007616,GO:0043011,GO:0007270,GO:0006913,GO:0016310,GO:0045893,GO:0046827,GO:0099527,GO:0099170,GO:0007165
nbis-gene-24883	GO:0097268,GO:0005737,GO:0005524,GO:0003883,GO:0042802,GO:0044210,GO:0006241,GO:0006541,GO:0030903,GO:0019856
nbis-gene-24537	GO:0062023,GO:0031012,GO:0005576,GO:0120216,GO:0005509,GO:0005201,GO:0030198
nbis-gene-24138	GO:0097729,GO:0005930,GO:0030286,GO:0005874,GO:0005524,GO:0016887,GO:0045505,GO:0051959,GO:0008569,GO:0060294
nbis-gene-24677	GO:0004519,GO:0046872,GO:0003964
nbis-gene-24642	GO:0042575,GO:0004190,GO:0003887,GO:0004519,GO:0003676,GO:0003964,GO:0015074,GO:0006508
nbis-gene-24573	GO:0005788,GO:0030968,GO:0030433
nbis-gene-24254	GO:0005929,GO:0005737,GO:0030286,GO:0005874,GO:0005886,GO:0005524,GO:0045505,GO:0051959,GO:0008569,GO:0030030,GO:0007018
nbis-gene-24254	GO:0005929,GO:0005737,GO:0030286,GO:0005874,GO:0005886,GO:0005524,GO:0045505,GO:0051959,GO:0008569,GO:0030030,GO:0007018
nbis-gene-25201	GO:0098978,GO:0016020,GO:0098839,GO:0045211,GO:0030672,GO:0030545,GO:0007611,GO:0060292,GO:0060291,GO:0008104,GO:0034394,GO:0006468,GO:2000311,GO:0050808
nbis-gene-25201	GO:0016020,GO:0098839,GO:0030672,GO:0042802,GO:0030545,GO:0007611,GO:0060292,GO:0060291,GO:0034394,GO:0006468,GO:2000311,GO:0050808
nbis-gene-24957	GO:0034451,GO:0005814,GO:0005813,GO:0005737,GO:0005876,GO:0007099,GO:0060271,GO:0000086,GO:0007020,GO:0045931
nbis-gene-24806	GO:0005764,GO:0003948,GO:0008233,GO:0006508
nbis-gene-25359	GO:0031252,GO:0005737,GO:0005829,GO:0045171,GO:0015630,GO:0005654,GO:0005634,GO:0005886,GO:1990904,GO:0031209,GO:0005831,GO:0005667,GO:0003677,GO:0016922,GO:0030374,GO:0003713,GO:0003712,GO:0006915,GO:0030154,GO:0071391,GO:0045662,GO:0045944,GO:0042981,GO:0007346,GO:0006357
nbis-gene-25100	GO:0005789,GO:0000139,GO:0005886,GO:0015293,GO:0030282,GO:0051216,GO:0006814
nbis-gene-25100	GO:0005789,GO:0000139,GO:0005886,GO:0015293,GO:0030282,GO:0051216,GO:0006814
nbis-gene-25100	GO:0005789,GO:0000139,GO:0005886,GO:0015293,GO:0030282,GO:0051216,GO:0006814
nbis-gene-25100	GO:0005789,GO:0000139,GO:0005886,GO:0015293,GO:0030282,GO:0051216,GO:0006814
nbis-gene-25470	GO:0060170,GO:0017071,GO:0043204,GO:0005886,GO:0005516,GO:0030552,GO:0030553,GO:0042802,GO:0005222,GO:0005223,GO:0005216,GO:0044877,GO:0005249,GO:0051899,GO:0098655,GO:0050896,GO:0007608
nbis-gene-24425	GO:0005662,GO:0005634,GO:0016605,GO:0003684,GO:0046872,GO:0003697,GO:0043047,GO:0006260,GO:0000724,GO:0007507,GO:0051321,GO:0006289,GO:0034502,GO:0007004
nbis-gene-24650	GO:0000139,GO:0001537,GO:0008146,GO:0016051,GO:0050655
nbis-gene-24650	GO:0000139,GO:0016020,GO:0001537,GO:0008146,GO:0016051,GO:0007417,GO:0042446,GO:0030166,GO:0006790
nbis-gene-24650	GO:0000139,GO:0016020,GO:0001537,GO:0008146,GO:0016051,GO:0007417,GO:0042446,GO:0030166,GO:0006790
nbis-gene-25455	GO:0005829,GO:0005085,GO:0030036,GO:0051056
nbis-gene-25278	GO:0080061,GO:0006807
nbis-gene-24718	GO:0005741,GO:0046930,GO:0015288,GO:0008320,GO:0006811,GO:0030150,GO:0006626
nbis-gene-25283	GO:0030424,GO:0005737,GO:0005856,GO:0005634,GO:0005886,GO:0005085,GO:0046872,GO:0031267,GO:0061630,GO:0004842,GO:0016198,GO:0048677,GO:0007411,GO:0021952,GO:0032922,GO:0048066,GO:0021986,GO:0050905,GO:0016567,GO:1902667,GO:0042068,GO:0008582,GO:0031290
nbis-gene-25269	GO:0005794,GO:0005886,GO:0005524,GO:0016887,GO:0000287,GO:0090555,GO:0090556
nbis-gene-25237	GO:0000428,GO:0005634,GO:0003677,GO:0003899,GO:0046983,GO:0006351
nbis-gene-24310	GO:0031672,GO:0000794,GO:0031674,GO:0031430,GO:0005859,GO:0030017,GO:0005865,GO:1990733,GO:0030018,GO:0051015,GO:0042805,GO:0030506,GO:0005524,GO:0005509,GO:0005516,GO:0019899,GO:0042802,GO:0051371,GO:0002020,GO:0019901,GO:0043621,GO:0106310,GO:0004674,GO:0004713,GO:0005200,GO:0008307,GO:0097493,GO:0031433,GO:0007512,GO:0055013,GO:0060048,GO:0003300,GO:0048738,GO:0055008,GO:0055003,GO:0035995,GO:0043056,GO:0007507,GO:0060419,GO:0003007,GO:0001701,GO:0006936,GO:0016310,GO:0010628,GO:0050714,GO:0010737,GO:1901897,GO:0051592,GO:0045214,GO:0048769,GO:0030241,GO:0030240,GO:0001756,GO:0055002,GO:0021591
nbis-gene-24310	GO:0030424,GO:0016604,GO:0005886,GO:0098552,GO:0042802,GO:0007413,GO:0007155
nbis-gene-24310	GO:0030424,GO:0016604,GO:0005886,GO:0098552,GO:0042802,GO:0007413,GO:0007155
nbis-gene-24373	GO:0005789,GO:0016020,GO:0160064,GO:0030246,GO:0043022,GO:0160063
nbis-gene-25027	GO:0005829,GO:0005768,GO:0000814,GO:0005770,GO:0031902,GO:0005764,GO:0005634,GO:0032266,GO:0043130,GO:0016197,GO:0043328
nbis-gene-24698	GO:0060170,GO:0005886,GO:0004930,GO:0007189,GO:0007166,GO:0048512,GO:0007186,GO:0007200,GO:0060019
nbis-gene-24651	GO:0061657,GO:0071568,GO:0071569
nbis-gene-24700	GO:0004843,GO:0006508
nbis-gene-24783	GO:0071006,GO:0046872,GO:0000349,GO:0043518,GO:0008380
nbis-gene-24562	GO:0030424,GO:0030425,GO:0030426,GO:0043025,GO:0005886,GO:0045202,GO:0098632,GO:1990890,GO:1990782,GO:0007411,GO:0060219,GO:0048813,GO:0070593,GO:0007156,GO:0007626,GO:0007162,GO:0038007,GO:0048842,GO:0042327,GO:0060060,GO:0010842,GO:0007416
nbis-gene-24653	GO:0005930,GO:0005739,GO:0031514,GO:1904158,GO:0030154,GO:0003341,GO:0007283
nbis-gene-24538	GO:0009986,GO:0005856,GO:0005829,GO:0005925,GO:0005886,GO:0001726,GO:0032587,GO:0051015,GO:0005178,GO:0005200,GO:0098609
nbis-gene-24611	GO:0005634,GO:0003677
nbis-gene-25153	GO:0016020,GO:0005743,GO:0005739,GO:0015297,GO:0061459,GO:0015189,GO:0000064,GO:1903826,GO:1903401,GO:1990575,GO:0000050
nbis-gene-25049	GO:0005829,GO:0005634,GO:0005506,GO:0008757,GO:0106335,GO:0016300,GO:0000049,GO:0008270,GO:0030488,GO:0002098
nbis-gene-25049	GO:0005737,GO:0005829,GO:0005634,GO:0016706,GO:0005506,GO:0008757,GO:0106335,GO:0016300,GO:0000049,GO:0008270,GO:0006974,GO:0030488,GO:0002098
nbis-gene-25069	GO:0033391,GO:0005737,GO:0005829,GO:0097433,GO:0005634,GO:0043186,GO:0010370,GO:1990923,GO:0071546,GO:0046872,GO:0003729,GO:0034584,GO:1905538,GO:0004521,GO:0030718,GO:0051321,GO:0042754,GO:0048477,GO:0034587,GO:0141006,GO:0060903,GO:0045727,GO:0031047,GO:0141005,GO:0141008,GO:0048511,GO:0140965,GO:0141007,GO:0007283
nbis-gene-25302	GO:0030430,GO:0042025,GO:0044423,GO:0004190,GO:0003887,GO:0046872,GO:0003723,GO:0003964,GO:0004523,GO:0015074,GO:0006310,GO:0075713,GO:0006508,GO:0046718,GO:0044826,GO:0075732
nbis-gene-24725	GO:0005813,GO:0005737,GO:0051304,GO:0000398,GO:0010826,GO:0042176
nbis-gene-24376	GO:0005737,GO:0005634,GO:0005524,GO:0140297,GO:0000287,GO:0004707,GO:0106310,GO:0004674,GO:0042169,GO:0031625,GO:0071470,GO:0035556,GO:1904262,GO:0030178,GO:0016310,GO:0050821,GO:0006355,GO:0007179,GO:0016055
nbis-gene-25314	GO:0016020,GO:0043235,GO:0032421,GO:0004725,GO:0016311,GO:0050910,GO:0002244,GO:0042472,GO:0050885,GO:0045598,GO:0060116
nbis-gene-24445	GO:0005739,GO:0008408,GO:0000175,GO:0003676,GO:0016070
nbis-gene-24445	GO:0005737,GO:0005925,GO:0005758,GO:0005759,GO:0005739,GO:0005730,GO:0005634,GO:0008408,GO:0008296,GO:0000175,GO:0000287,GO:0003676,GO:0006139,GO:0009117
nbis-gene-24445	GO:0005737,GO:0005925,GO:0005758,GO:0005759,GO:0005739,GO:0005730,GO:0005634,GO:0008408,GO:0008296,GO:0000175,GO:0000287,GO:0003676,GO:0006139,GO:0009117
nbis-gene-24445	GO:0005737,GO:0005925,GO:0005758,GO:0005759,GO:0005739,GO:0005730,GO:0005634,GO:0008408,GO:0008296,GO:0000175,GO:0000287,GO:0003676,GO:0006139,GO:0009117
nbis-gene-24763	GO:0000785,GO:0005634,GO:0046975,GO:0140955,GO:0042800,GO:0140999,GO:0140949,GO:0140944,GO:0140941,GO:0046872,GO:0042803,GO:0010844,GO:0043565,GO:0000976,GO:1990918,GO:0007292,GO:0007129,GO:0048232,GO:0007127,GO:0006311,GO:0032259,GO:0043066,GO:1905516,GO:0060903,GO:0010845,GO:0045944,GO:0010468,GO:0007283
nbis-gene-24415	GO:0005783,GO:0005811,GO:0004771,GO:0019915
nbis-gene-25369	GO:0017076
nbis-gene-25369	GO:0017076
nbis-gene-24521	GO:0005615,GO:0005764,GO:0004197,GO:0006955,GO:2001235,GO:0051603
nbis-gene-25157	GO:0034451,GO:0005813,GO:0005737,GO:0005615,GO:0005634,GO:0005136,GO:0042976,GO:0060271,GO:0002376,GO:0007080,GO:0090307,GO:0032695,GO:0032815,GO:0031393,GO:0042532,GO:1905515,GO:0032733,GO:0042531,GO:0071539
nbis-gene-25376	GO:0005634,GO:0005096
nbis-gene-25376	GO:0005634,GO:0005096
nbis-gene-25376	GO:0005634,GO:0005096
nbis-gene-24938	GO:0005774,GO:0015175,GO:0015804
nbis-gene-24719	GO:0005768,GO:0005886,GO:0005802,GO:0004190,GO:0050435,GO:0006509
nbis-gene-24354	GO:0005524,GO:0016301,GO:0000287,GO:0042803,GO:0004749,GO:0006015,GO:0009165,GO:0016310,GO:0009156
nbis-gene-25222	GO:0031461,GO:0005654,GO:1990452,GO:0005886,GO:0019005,GO:0030674,GO:0160072,GO:0031625,GO:0009887,GO:0006915,GO:0008283,GO:0043123,GO:0043161,GO:0016567,GO:0031146,GO:0006511
nbis-gene-24605	GO:0005737,GO:0004252,GO:0006508
nbis-gene-24591	GO:0005737,GO:0003677,GO:0006355
nbis-gene-24771	GO:0003824,GO:0071897
nbis-gene-24620	GO:0005886,GO:0051119,GO:0015574,GO:0015771
nbis-gene-25432	GO:0005794,GO:0000139,GO:0005637,GO:0003723,GO:0034394
nbis-gene-25204	GO:0062023,GO:0005576,GO:0005509,GO:0008201,GO:0007155,GO:0060231,GO:0061053
nbis-gene-24359	GO:0004519,GO:0046872,GO:0003964
nbis-gene-24961	GO:0005737,GO:0005634,GO:0000943,GO:0004190,GO:0005524,GO:0003677,GO:0003887,GO:0008233,GO:0003723,GO:0004540,GO:0003964,GO:0004523,GO:0008270,GO:0015074,GO:0006310,GO:0006508,GO:0032197
nbis-gene-24842	GO:0012505,GO:0005794,GO:0005811,GO:0140220,GO:0005525,GO:0003924,GO:0006886,GO:0034389
nbis-gene-25425	GO:0005737,GO:0005829,GO:0022626,GO:0005739,GO:0051539,GO:0005524,GO:0016887,GO:0043273,GO:0060698,GO:0003924,GO:0005506,GO:0017111,GO:0043024,GO:0006417,GO:0072344,GO:0000054,GO:0032790,GO:0006413,GO:0006415
nbis-gene-24432	GO:0005879,GO:0005814,GO:0036064,GO:0031514,GO:0036126,GO:0008017,GO:0030030,GO:0070417,GO:0009631,GO:0045724,GO:0050821
nbis-gene-24453	GO:0005737,GO:0005524,GO:0004715,GO:0016310
nbis-gene-24636	GO:0043159,GO:0001669,GO:0044297,GO:0031410,GO:0005615,GO:0002081,GO:0005886,GO:0002199,GO:0001848,GO:0007339,GO:0006958,GO:0006955,GO:0045087,GO:0045959,GO:0045732,GO:1903027,GO:0009609,GO:0007338,GO:0002456
nbis-gene-24845	GO:0031462,GO:0031463,GO:0031461,GO:0005829,GO:1990756,GO:0008270,GO:2000627,GO:0043161,GO:0016567,GO:0140958
